cro,foreign
rukavica,handskoen
rukavica,dorezë
rukavica,guant
rukavica,handske
rukavica,handschoen
rukavica,kinnas
rukavica,guwantes
rukavica,käsine
rukavica,gant
rukavica,luva
rukavica,gan
rukavica,hanska
rukavica,sarung tangan
rukavica,lámhainn
rukavica,guanto
rukavica,cimds
rukavica,pirštinė
rukavica,hanske
rukavica,ingwanta
rukavica,guante
rukavica,rokavice
rukavica,rukavica
